Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
180,Ryan Finley,2014,2018,,46,938,1461,64.2,11147,63,30,138.4
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
181,Mike Glennon,2009,2012,North Carolina State,36,646,1069,60.4,7411,63,31,132.3
182,Cody Hawkins,2007,2010,Colorado,39,691,1253,55.1,7731,63,43,116.7
183,Johnny Manziel,2012,2013,Texas A&M,26,595,863,68.9,7820,63,22,164.1
184,Steven Montez,2016,2019,Colorado,45,824,1321,62.4,9710,63,33,134.9
185,Terrance Owens,2010,2013,Toledo,43,669,1061,63.1,8203,63,25,142.9
186,Chris Rix,2001,2004,Florida State,43,575,1042,55.2,8390,63,40,135.1
187,Chuckie Keeton,2011,2015,Utah State,39,672,1068,62.9,7393,62,24,135.7
188,Matt Linehan,2014,2017,Idaho,44,897,1465,61.2,10752,62,43,131.0
189,Gardner Minshew,2016,2018,,30,761,1168,65.2,8266,62,20,138.7
190,Carson Palmer,2000,2002,Southern California,36,743,1255,59.2,9423,62,40,132.2
191,Bryce Petty,2011,2014,Baylor,34,530,845,62.7,8195,62,10,166.0
192,Taylor Potts,2007,2010,Texas Tech,34,733,1106,66.3,7835,62,25,139.8
193,Bo Wallace,2012,2014,Mississippi,39,747,1186,63.0,9534,62,41,140.8
194,Kellen Clemens,2002,2005,Oregon,37,613,1005,61.0,7555,61,24,139.4
195,Kyle Orton,2001,2004,Purdue,42,748,1262,59.3,8918,61,24,130.8
196,Tommy Rees,2010,2013,Notre Dame,43,627,1048,59.8,7670,61,37,133.5
197,Nate Sudfeld,2012,2015,Indiana,38,593,983,60.3,7879,61,20,144.1
198,Drew Tate,2003,2006,Iowa,39,665,1090,61.0,8292,61,34,137.1
199,Clayton Thorson,2015,2018,Northwestern,53,991,1696,58.4,10731,61,45,118.1
200,Brady White,2016,2019,,30,540,862,62.6,7569,61,21,154.9
201,Marquise Williams,2012,2015,North Carolina,46,624,1018,61.3,7965,61,25,141.9
202,David Carr,2000,2001,Fresno State,24,502,792,63.4,6637,60,18,154.2
203,Jimmy Clausen,2007,2009,Notre Dame,35,695,1110,62.6,8148,60,27,137.2
204,Jose Fuentes,2000,2002,Utah State,32,700,1259,55.6,9077,60,41,125.4
205,Skyler Howard,2014,2016,West Virginia,30,524,917,57.1,7302,60,24,140.4
206,Sefo Liufau,2013,2016,Colorado,43,887,1412,62.8,9746,60,35,129.9
207,J.P. Losman,2000,2003,Tulane,37,570,987,57.8,6754,60,27,129.8
208,Jordan Love,2017,2019,Utah State,38,689,1125,61.2,8600,60,29,137.9
209,Nathan Rourke,2017,2019,Ohio,39,525,894,58.7,7457,60,20,146.5
210,Seth Russell,2013,2016,Baylor,31,345,606,56.9,5461,60,18,159.4
211,Rod Rutherford,2000,2003,Pittsburgh,44,458,842,54.4,6724,60,30,137.9
212,Riley Skinner,2006,2009,Wake Forest,50,903,1349,66.9,9762,60,37,136.9
213,Jay Cutler,2002,2005,Vanderbilt,45,710,1242,57.2,8697,59,36,125.9
214,Paxton Lynch,2013,2015,Memphis,38,758,1205,62.9,8863,59,23,137.0
215,Josh Rosen,2015,2017,UCLA,30,712,1170,60.9,9340,59,26,140.1
216,B.J. Symons,2000,2003,Texas Tech,29,529,822,64.4,6378,59,25,147.1
217,Mike Teel,2005,2008,Rutgers,47,661,1142,57.9,9383,59,49,135.4
218,John Wolford,2014,2017,Wake Forest,47,761,1275,59.7,8794,59,41,126.5
219,Eric Dungey,2015,2018,Syracuse,39,786,1279,61.5,9340,58,30,133.1
220,Caleb Evans,2016,2019,Louisiana-Monroe,42,756,1251,60.4,9520,58,34,134.2
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
221,Jeff Smoker,2000,2003,Michigan State,39,663,1118,59.3,8556,58,38,133.9
222,T.J. Yates,2007,2010,North Carolina,45,795,1277,62.3,9377,58,46,131.7
223,Jared Zabransky,2003,2006,Boise State,47,610,980,62.2,8256,58,37,145.0
224,Reggie Ball,2003,2006,Georgia Tech,49,662,1363,48.6,8128,57,55,104.4
225,Ian Book,2017,2019,Notre Dame,33,500,788,63.5,6118,57,17,148.2
226,Sam Darnold,2016,2017,Southern California,27,549,846,64.9,7229,57,22,153.7
227,Cody Fajardo,2011,2014,Nevada,45,878,1348,65.1,9659,57,29,135.0
228,Andrew Ford,2016,2018,Massachusetts,28,560,895,62.6,6955,57,23,143.7
229,Brian Johnson,2004,2008,Utah,41,673,1017,66.2,7853,57,27,144.2
230,Terrelle Pryor,2008,2010,Ohio State,39,477,783,60.9,6177,57,26,144.6
231,Brogan Roback,2013,2017,Eastern Michigan,45,743,1282,58.0,8624,57,38,123.2
232,Khalil Tate,2016,2019,Arizona,40,459,792,58.0,6318,57,31,140.9
233,Blake Bortles,2011,2013,Central Florida,35,585,891,65.7,7598,56,19,153.8
234,Casey Bramlet,2000,2003,Wyoming,40,767,1378,55.7,9684,56,48,121.1
235,Ty Gangi,2016,2018,Nevada,32,595,989,60.2,7378,56,30,135.4
236,Ryan Griffin,2009,2012,Tulane,42,836,1396,59.9,9026,56,35,122.4
237,Gunner Kiel,2014,2016,Cincinnati,28,505,833,60.6,6835,56,26,145.5
238,Taylor Martinez,2010,2013,Nebraska,43,575,962,59.8,7258,56,29,136.3
239,Gus Ragland,2015,2018,Miami (OH),37,513,849,60.4,6312,56,13,141.6
240,Matt Ryan,2004,2007,Boston College,40,807,1346,60.0,9313,56,37,126.3
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
241,Matt Schaub,2000,2003,Virginia,38,716,1069,67.0,7502,56,26,138.4
242,Connor Shaw,2010,2013,South Carolina,42,480,733,65.5,6074,56,16,155.9
243,Chris Simms,2000,2002,Texas,35,516,875,59.0,6870,56,30,139.2
244,Brad Smith,2002,2005,Missouri,48,835,1484,56.3,8799,56,33,114.1
245,Ricky Stanzi,2007,2010,Iowa,38,542,907,59.8,7377,56,31,141.6
